label	definition	caption
Stomach rumble	A low, gurgling sound produced by the stomach when it is empty or has been disturbed, often accompanied by a feeling of hunger or discomfort.	
Carbon monoxide detector, CO detector	An electronic device that detects carbon monoxide gas in the air and produces a high-pitched, piercing sound to alert the user of potential danger.	
Rain on surface	The sound of raindrops hitting a surface, such as a roof or window, characterized by a soft, rhythmic patter or pitter-patter.	
Toot	A short, high-pitched sound produced by blowing air through a small opening, often used as a signal or warning.	
Lawn mower	The continuous, rhythmic sound produced by the blades of a lawn mower cutting grass, characterized by a low hum and occasional clipping sounds.	
Tap dance	The rhythmic, percussive sounds produced by striking the floor with the feet, often accompanied by hand claps and other percussive elements, used in dance performances.	
Clunk	A sharp, metallic sound produced by the impact of two hard objects, often accompanied by a short echo.	
Wheeze	A high-pitched, whistling sound produced by the narrowing of airways, often accompanied by coughing or breathing difficulties.	
Gush	A sudden, forceful flow of liquid or gas, often accompanied by a hissing or bubbling sound.	
Grunt	A short, sharp, and low-pitched vocalization produced by the human vocal tract, often used to express physical exertion or to communicate with others.	
Tire squeal, skidding	The high-pitched, metallic sound produced by the friction of tires on a surface, often accompanied by a screeching or grinding noise, and typically associated with sudden stops or turns.	
Wolf-whistling	The high-pitched, mournful whistle produced by wolves, often used to communicate with other members of their pack, and characterized by a distinct, haunting melody.	
Pulleys	A mechanical device used to transmit power from one point to another by means of a pulley wheel and a cable, often used in lifting or pulling objects.	
Ringing tone, ringback tone	A high-pitched, oscillating sound produced by a telephone or other communication device when a call is incoming or when a message has been left.	
Whimper	A low, mournful sound produced by a dog or other animal, often accompanied by a slight trembling or shaking of the body.	
Skidding	The sound of tires screeching on a surface as they lose traction and slide	
Electric rotor drone, quadcopter	The buzzing sound produced by the rotors of an electric drone, often characterized by its rhythmic, pulsating quality	
Nicker	The high-pitched sound produced by a horse's teeth as it bites or chews, often described as a soft, gentle sound	
Power windows, electric windows	The sound of electric motors powering the movement of car windows, characterized by a rhythmic, humming noise.	
Stairs	The sound of footsteps on stairs, characterized by a rhythmic, echoing noise.	
Source-ambiguous sounds	Sounds that are difficult to identify as coming from a specific source, such as traffic noise or construction noise, characterized by a mix of high- and low-frequency components.	
Natural sounds	A variety of sounds produced by natural phenomena, such as birdsong, waterfall, and thunder.	
Filing (rasp)	The sound produced by the rapid movement of paper through a filing cabinet, characterized by a sharp, metallic rasp.	
Yodeling	The high-pitched, sustained vocalizations produced by the vocal cords, often used in traditional folk music.	
Motorboat, speedboat	A watercraft powered by a motor, characterized by its speed and ability to navigate through water.	
Gargling	The act of swishing water in the mouth, often accompanied by a gurgling or bubbling sound.	
Digestive	The process of breaking down food in the stomach and intestines, characterized by a series of gurgling, bubbling, and sloshing sounds.	
Yawn	A deep, slow inhalation accompanied by a low-pitched sound, often heard when someone is tired or bored.	
Chink, clink	A short, sharp sound produced by the collision of two hard objects, such as metal or glass, often heard in a kitchen or workshop.	
Pant (dog)	The rapid, shallow breathing of a dog, characterized by short, sharp inhales and exhales, often heard when the dog is excited or anxious.	
Bass drum	A percussion instrument with a deep, resonant sound, typically played with a mallet or stick.	
Thunk	A short, sharp, and heavy sound, often produced by a solid object hitting a surface.	
Single-lens reflex camera	A type of camera that uses a single lens to capture images, typically used for photography and videography.	
Tire squeal	The high-pitched, metallic sound produced by the friction of tires on a surface, often heard during vehicle maneuvers or braking.	
Human locomotion	The rhythmic sounds produced by the movement of human feet on a surface while walking or running, characterized by distinct patterns and variations in speed and intensity.	
Propeller, airscrew	The continuous, whirring sound produced by the rotation of a propeller or airscrew, often heard in aircraft or helicopters.	
Wail, moan	A loud, mournful sound often produced by a person or animal in distress or grief.	
Dial tone	The high-pitched sound produced by a telephone when a person dials a number.	
Synthetic singing	A type of singing produced using electronic instruments or software, often characterized by a smooth, polished sound.	
Knife	A sharp, metallic sound produced by the blade of a knife cutting through something.	
Shuffle	A rhythmic, percussive sound produced by the movement of cards or other objects being shuffled together.	
Kitchen and dining room sounds	A variety of sounds produced in a kitchen and dining room, including the clinking of dishes, the sound of a refrigerator door opening and closing, and the sizzling of food cooking on a stove.	
Electronic tuner	A device used to tune musical instruments, characterized by a high-pitched, electronic sound.	
Jet engine	A type of internal combustion engine used in aircraft, characterized by a loud, continuous roar.	
Steam whistle	A musical instrument that produces a high-pitched, whistling sound, often used to signal or announce something.	
Specific impact sounds	Sounds produced by the impact of a specific object on a surface, characterized by a sharp, short duration and a distinct pitch.	
Non-motorized land vehicle	A vehicle that does not rely on motor power to move on land, such as a bicycle, horseback, or walking.	
Spray	A fine mist or liquid particles dispersed into the air, often produced by a spray gun or aerosol can.	
Sniff	The sound of inhaling air through the nose, characterized by a soft, nasal quality.	
Blender, food processor	The whirring sound produced by a blender or food processor as it blends ingredients, characterized by a high-pitched, rapid noise.	
Sewing machine	The rhythmic, repetitive sound produced by a sewing machine as it stitches fabric, characterized by a steady, mechanical quality.	
Photocopier	The sound of paper being copied through a photocopier machine, characterized by a rhythmic clicking and whirring noise.	
Slosh	The sound of liquid sloshing or splashing, often produced by the movement of water or other liquids.	
Puff	The sound of air being expelled from a source, often produced by the exhale of a person or the release of air from a container.	
Crockery breaking and smashing	The sharp, cracking sound produced by breaking and smashing crockery, characterized by its high-pitched, metallic tones.	
Washing machine	The rhythmic, humming sound produced by the rotation of the drum and the movement of water through the machine, often accompanied by the sound of clothes rubbing against each other.	
Rimshot	The sharp, percussive sound produced by striking a drum or cymbal with a mallet or stick, characterized by its short duration and high-pitched overtones.	
Keypress tone	A short, high-pitched sound produced by a computer keyboard when a key is pressed.	
Cellphone buzz, vibrating alert	A short, buzzing sound produced by a cellphone when it receives a message or call, accompanied by vibrations.	
Humming	A low-frequency, continuous sound produced by a device or machine, often characterized by a steady, rhythmic vibration.	
Bathroom sounds	The sounds produced in a bathroom, including running water, flushing toilets, and the sound of someone using the sink or shower.	
Studio recording	The process of recording audio in a studio, often involving microphones, amplifiers, and other audio equipment.	
Harmonic	A type of sound characterized by its pleasing, melodic quality, often produced by instruments or voices that are played or sung in harmony.	
Dong, bong	A short, sharp sound produced by a bell or other metal object struck with a mallet or other hard object.	
Engine knocking	A rhythmic, metallic sound produced by the rapid expansion and contraction of an internal combustion engine.	
Pant	A short, sharp sound produced by the rapid inhalation and exhalation of air through the nose or mouth, often accompanied by a slight whistling sound.	
Mechanical bell	The metallic ringing sound produced by a mechanical device, often used to signal or alert.	
Shower	The sound of water falling from a height, characterized by its rhythmic splashing and continuous flow.	
Duck call (hunting tool)	A whistle-like device used to attract ducks and geese during hunting, characterized by a high-pitched, reed-like sound.	
Wobble	A slight, unsteady movement or vibration, often heard in the voice or in objects that are not firmly anchored.	
Ducks, geese, waterfowl	A group of birds that belong to the order Anseriformes, characterized by their webbed feet, streamlined bodies, and distinctive quacks or honks.	
Drum roll	A rhythmic, percussive sound produced by a drum or a set of drums, often used to signal the beginning of an event or performance.	
Sound equipment	Equipment used to produce, record, and reproduce sound, such as microphones, speakers, and amplifiers.	
Booing	A loud, disapproving sound produced by clapping one's hands together or stomping one's feet, often used to express dissatisfaction or disapproval.	
Waterfall	The continuous, rushing sound of water splashing from a height, typically characterized by its intensity and white noise-like qualities.	
Rustling leaves	The gentle, rustling sound produced by leaves moving in the wind, characterized by their soft, whispering quality.	
Sailboat, sailing ship	The creaking and groaning sounds produced by the movement of a sailboat or sailing ship, characterized by their rhythmic, nautical quality.	
Foghorn	A loud, continuous sound produced by a foghorn, often used to signal danger or warning.	
Firecracker	A loud, explosive sound produced by the ignition of gunpowder, often used in celebrations or displays.	
Microphone	An electronic device used to capture and convert sound waves into electrical signals, used in audio recording and communication.	
Dental drill, dentist's drill	A handheld tool used by dentists to remove tooth enamel and fillings, characterized by a high-pitched, whirring sound.	
Power saw, circular saw, table saw	A power tool used for cutting wood and other materials, characterized by a loud, buzzing sound.	
Stir	A kitchen utensil used to mix ingredients, characterized by a soft, rhythmic sound.	
Snort	A short, sharp sound produced by the nose when inhaling or exhaling air through the nostrils, often accompanied by a slight vibration of the soft palate.	
Ding-dong	A ringing sound produced by a doorbell, characterized by a series of short, high-pitched notes.	
Refrigerator	The humming sound produced by the compressor of a refrigerator, often accompanied by a low-frequency rumble and occasional clicks or pops.	
Narration, monologue	A spoken storytelling or speech, often with a distinct tone, pace, and rhythm.	
Heart murmur	A faint, rhythmic sound produced by the heart, often heard when lying down or listening closely.	
Windscreen wiper, windshield wiper		The sound produced by the movement of a windscreen wiper across a windshield, characterized by a rhythmic, scraping noise.
speaking undistinguished		The sound of a person speaking in a monotone, unclear voice, without any distinct accents or inflections.
animals		The diverse range of sounds produced by animals, including vocalizations, footsteps, and other actions that produce sound.
Human sounds		The sounds produced by humans, including speech, laughter, and other vocalizations.
Microphone noise		The unwanted sounds that can be picked up by a microphone, often caused by background noise or interference.
Speaking		The act of producing vocalizations through the use of the vocal organs, characterized by the rhythmic movement of air through the larynx and the production of sound waves.
quiet		A sound level characterized by low intensity and minimal audibility.
Chain		A metallic sound produced by the movement of metal links or plates, often characterized by a rhythmic clanking or rattling.
Video game sound		The audio elements in video games, including background music, sound effects, and voiceovers, designed to enhance the gameplay experience.
Door, open or close		The sound of a door opening or closing, characterized by a distinct click or creaking noise.
Audio feedback		The sound produced by a device or system in response to an input signal, often used for monitoring or adjusting settings.
Unknown sound		A sound that is difficult to identify or categorize, often characterized by its unpredictable or ambiguous nature.
Audio logo		A short, distinctive sound or jingle used to identify a brand or product, often consisting of a catchy melody or rhythm.
Lock		The audible sound produced by a lock when it is being opened or closed, typically consisting of a clicking or turning noise.
respiration		The rhythmic, inhaling and exhaling sounds produced by the lungs, characterized by a regular pattern of breaths
Stomp, stamp		The sharp, percussive sounds produced by the impact of feet on a hard surface, often characterized by a rhythmic pattern
Sweeping		The continuous, sweeping sound produced by a broom or other cleaning tool moving across a surface, characterized by a steady, back-and-forth motion
speaking		The sound of human speech, characterized by distinct phonemes, intonation, and rhythm.
microphone noise		The unwanted sounds produced by a microphone, often caused by background noise or interference.
crowd		The collective sound of a group of people, characterized by overlapping voices and a sense of energy and excitement.
Engine_starting	The sound produced by an engine when it is started, characterized by a loud, rumbling noise that gradually fades into a steady hum.	
Thump_and_thud	A sharp, percussive sound produced by the impact of a hard object against a surface, often accompanied by a short, sharp echo.	
